Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3e084d9ed06af60fb18325a8f51e8d57844e1b2b192c551ff4298a3bf6cf0f9b,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.535177,53.183611,On or near OVER HALL DRIVE,E01018741,Cheshire West and Chester 040D,Unable to prosecute suspect
feaf20f83af212d8e2c888dab1a92b87e093bbe25180d3d43746dccedd90128d,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.128810,53.261805,On or near KING EDWARD ROAD,E01018624,Cheshire East 018C,Investigation complete; no suspect identified
53dd4a915e48e05e05a75b0f1d3e2d01495861c0f036fd6d3ecef429ebaa5f91,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.442633,53.098712,On or near Shopping Area,E01018462,Cheshire East 039A,Investigation complete; no suspect identified
f73a3a9f5cfc3134189665c4ad2a051cbfa37faef2ede239a9f02150385599e0,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.883588,53.197293,On or near HOOLE WAY,E01032930,Cheshire West and Chester 033E,Investigation complete; no suspect identified
5c121194220dd65d80a5cd531073d3cf8bb109179488eed6f15eb5d59ff2dfb1,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.127451,53.258571,On or near EXCHANGE STREET,E01018624,Cheshire East 018C,Investigation complete; no suspect identified
0113c2a1b549031882ec98122c619bb9977154681bd583efd31a32f785b1f34f,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.934575,53.200149,On or near NEVIN ROAD,E01018314,Cheshire West and Chester 031B,Investigation complete; no suspect identified
b6d6a0e426d9e30861c85857600f327099fa6d8f9d59c0bd87f4d24466236f55,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.897123,53.288396,On or near UPPER MERSEY STREET,E01018564,Cheshire West and Chester 007E,Unable to prosecute suspect
e6513ca9bd527158cccea6e2d060b642b1cc221dab9688d24ca6900c7eaac8d9,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.899896,53.279053,On or near YORK ROAD,E01018520,Cheshire West and Chester 007B,Investigation complete; no suspect identified
99017b06c82930f093977752e19c8e3ec070a3d2ed20c5ace0aaaab52eea93e2,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.445267,53.120914,On or near KENT'S LANE,E01018479,Cheshire East 035E,Investigation complete; no suspect identified
62a4af3c66d4005c15eff4f9faf506da0d62c8386e701140b0b42600d4b67214,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.933471,53.201012,On or near ROSE CLOSE,E01018314,Cheshire West and Chester 031B,Investigation complete; no suspect identified
6d8348f50d6fe68099798161d003a7b1ce87e815a822ecf57081843ad888fa4c,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.161376,53.259302,On or near A537,E01018647,Cheshire East 019D,Investigation complete; no suspect identified
e5ca40b91571a34d47f116a8a4c5e9156d1008d9edcbb664d1167e1184139484,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.703239,53.320565,On or near ROSAM COURT,E01012408,Halton 013F,Investigation complete; no suspect identified
d92555816baa7cdea1c94ca56edf3e969657178ab59e2f0dc029c3abf67bb904,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.777892,53.350151,On or near KENVIEW CLOSE,E01012391,Halton 008B,Investigation complete; no suspect identified
2ecae8db707603279074cbfe1dd62f3933a0be1dc0b57036e05c4f750763bf87,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.824067,53.238485,On or near INCE LANE,E01018359,Cheshire West and Chester 022F,Investigation complete; no suspect identified
545ebeb694e297ad9e6c7bd4d80122adef45e0dae47b5346a6c41e583160d7e4,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.330838,53.083758,On or near NO 2 ROAD SOUTH,E01018465,Cheshire East 041A,Investigation complete; no suspect identified
0c8a9945502d0abcd60a88f09ab9f88bb25611cfc396ddbbafde2cfd8327207d,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.896993,53.189786,On or near STANLEY PLACE MEWS,E01018326,Cheshire West and Chester 034A,Unable to prosecute suspect
a20df541effa572c09b105a9c9ca9dc454b2ee296ec5f8cb280dc4057b70155c,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.467972,53.102336,On or near NIXON STREET,E01018483,Cheshire East 037B,Investigation complete; no suspect identified
f1d87d8c75f173038a5690b9066131c845d6752e2392406ceb93a1a376dcfea2,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.946992,53.284576,On or near Parking Area,E01018531,Cheshire West and Chester 009D,Investigation complete; no suspect identified
d317e5efe3b3fc038d08db59622b351e6b2d3092a88f1ba65f63fa5a2cb099d1,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.934575,53.200149,On or near NEVIN ROAD,E01018314,Cheshire West and Chester 031B,Unable to prosecute suspect
4d30348a64315f5f8f8e5346c97a2d018825163d1d82ff470abf2bf0cdc8d20d,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.594324,53.428348,On or near ST ANTHONY PLACE,E01012468,Warrington 003B,Unable to prosecute suspect
381a07d99653440b72d34691f2fbcb89408452f72324ffdf514b068150dc4659,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.714015,53.302415,On or near MARSHGATE PLACE,E01018685,Cheshire West and Chester 002A,Unable to prosecute suspect
241b8f0af08d3dd4c7857a6e1ced5c6c5e20285e71662688180f88e742d3a5ab,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.883900,53.266983,On or near BODIAM COURT,E01018551,Cheshire West and Chester 011C,Investigation complete; no suspect identified
6140c5078a068c1b7b0182855338dad28e72d728bdca54aca33ea487b4afa53c,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.504511,53.194630,On or near CROOK LANE,E01018734,Cheshire West and Chester 035B,Investigation complete; no suspect identified
d1a5bd021ac7e57cd0b1b193d1f6266e68df5fde450d55a28dbdf8a6fb7fbda1,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.205463,53.349841,On or near Supermarket,E01018593,Cheshire East 004C,Investigation complete; no suspect identified
ed554129202ae854d29eef580fedce77782d169c7b6e915c95d985c3f9b7c253,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.156610,53.267758,On or near DEVON CLOSE,E01018618,Cheshire East 015B,Unable to prosecute suspect
cc5bc96f521064b975224dc117c77ab571a8d640a5e68f8419a8c7bcb428db00,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.514478,53.078242,On or near Petrol Station,E01018455,Cheshire East 047C,Investigation complete; no suspect identified
33e7bb1a7a5edef89cd80a2cda1c1615e4da64cd100a83829484d8bae4f95c96,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.880386,53.187878,On or near LOWER PARK ROAD,E01018340,Cheshire West and Chester 043D,Investigation complete; no suspect identified
c61acaf76ff0cbae9d5459fa2cb45512252c5fc0e9cd1676e6a98b55e209c895,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.447689,53.100895,On or near WEST STREET,E01018467,Cheshire East 036E,Investigation complete; no suspect identified
8ef2e9d97b1a2cd854efead43ca5a14c447d7065ceafd587ac2f5c6ebdb3cad9,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.536497,53.240145,On or near QUAINTWAYS,E01018694,Cheshire West and Chester 023C,Unable to prosecute suspect
818dea1fbccbe536226c968766423656514ae55fcc14a28de265cd9af760a141,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.519152,53.064675,On or near Supermarket,E01018504,Cheshire East 050D,Investigation complete; no suspect identified
854565681cbc4abfed8d2d0221f95c107a8ad85d2c4841660b7db48df54e55a9,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.519152,53.064675,On or near Supermarket,E01018504,Cheshire East 050D,Investigation complete; no suspect identified
e0fa4dfaae04530599b2e6f11c4fdb45b5e2b6f1df4ac1403ad0e0599dcd6a8f,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.948163,53.305646,On or near DUDLEY CRESCENT,E01007169,Wirral 042E,Investigation complete; no suspect identified
570146765a15ebd7018bee468a292c8489de418aea0f8b16787814c414cb9ca7,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.549441,53.189685,On or near BROCKWELL CLOSE,E01018738,Cheshire West and Chester 040B,Investigation complete; no suspect identified
3ed9a32f42c5db8520639a3aa82b1c79e58fb758d609536c5f1ad373221b4e13,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.082280,53.356749,On or near MELROSE CRESCENT,E01018661,Cheshire East 001D,Investigation complete; no suspect identified
c7179aab764a7ef54f94dd403c970056dfdb5152536ecb06b7eff8deca65eba2,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.914764,53.206928,On or near BLACON AVENUE,E01018312,Cheshire West and Chester 029D,Investigation complete; no suspect identified
58995fb8107e41fc2e2cfc294d154d13407a9e16d20f8ec818a2eae7743bfb73,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.914730,53.196887,On or near GREYHOUND PARK ROAD,E01018330,Cheshire West and Chester 034D,Investigation complete; no suspect identified
164d04f0ac9ae9bcbb8e3f13df75540b785567f7e31a2f156aec1184325cacbe,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.833054,53.206700,On or near ORCHARD CROFT,E01018325,Cheshire West and Chester 039C,Unable to prosecute suspect
775c62e8aa3924ad0578d5dd231119ecc7767843608ba8d8db9b1c7c8ec95946,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.682198,53.316264,On or near GOULDERS COURT,E01012439,Halton 015E,Unable to prosecute suspect
55146ab2bde570cd18594f50eb1d30a1cfaae85958272691cc63157b8f02d86a,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.557783,53.273055,On or near LEIGH'S BROW,E01018672,Cheshire West and Chester 012B,Unable to prosecute suspect
1b6d631129e687128983d8b378fe794bdc95bde3a19ea21eec86ce131ab389a9,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.430061,53.097481,On or near A532,E01018501,Cheshire East 038C,Unable to prosecute suspect
a9d272a0e5cd6d4ea619b083288fc3b2c6e46cbcebd611c6170eab736049803f,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.597064,53.409071,On or near Shopping Area,E01012453,Warrington 013A,Investigation complete; no suspect identified
46b495f36d05f253ee0434afb25ddf054e91e76d50236371f00acec62b2e9cd4,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.654580,53.395736,On or near CHESTNUT AVENUE,E01012491,Warrington 015A,Investigation complete; no suspect identified
